"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth"
"NWC161","NWC","Niwot","PICO","C","LIVE",11.8,1,2,"C","Y",1929,NA,NA,NA,NA,NA,NA,NA
"NWC162","NWC","Niwot","ABLA","C","LIVE",12.5,1,2,"C","Y",1918,NA,NA,NA,NA,NA,NA,NA
"NWC163","NWC","Niwot","PICO","C","LIVE",22.4,1,2,"C","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWC164","NWC","Niwot","PIEN","C","LIVE",12.6,1,2,"C","Y",1911,NA,NA,NA,NA,NA,NA,NA
"NWC211","NWC","Niwot","ABLA","C","LIVE",11,1,2,"C","Y",1925,NA,NA,NA,NA,NA,NA,NA
"NWC212","NWC","Niwot","ABLA","C","LIVE",10.2,1,2,"C","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWC213","NWC","Niwot","ABLA","C","LIVE",6.3,1,2,"C","Y",1935,NA,NA,NA,NA,NA,NA,NA
"NWC214","NWC","Niwot","PICO","C","LIVE",19.1,1,2,"C","Y",1934,NA,NA,NA,NA,NA,NA,NA
"NWC221","NWC","Niwot","PICO","C","LIVE",15.9,1,2,"C","Y",1950,NA,NA,NA,NA,NA,NA,NA
"NWC222","NWC","Niwot","ABLA","C","LIVE",10.7,1,2,"C","Y",1920,NA,NA,NA,NA,NA,NA,NA
"NWC223","NWC","Niwot","PICO","C","LIVE",15.5,1,2,"C","Y",1932,NA,NA,NA,NA,NA,NA,NA
"NWC224","NWC","Niwot","ABLA","C","LIVE",6.5,1,2,"C","Y",1933,NA,NA,NA,NA,NA,NA,NA
"NWC231","NWC","Niwot","PIEN","C","LIVE",16.4,1,2,"C","Y",1916,NA,NA,NA,NA,NA,NA,NA
"NWC232","NWC","Niwot","ABLA","C","LIVE",6.7,1,2,"C","Y",1937,NA,NA,NA,NA,NA,NA,NA
"NWC233","NWC","Niwot","ABLA","C","LIVE",6.2,1,2,"C","Y",1948.5,NA,NA,NA,NA,NA,NA,NA
"NWC234","NWC","Niwot","ABLA","C","LIVE",11.3,1,2,"C","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWC241","NWC","Niwot","PIEN","C","LIVE",10.2,1,2,"C","Y",1926.5,NA,NA,NA,NA,NA,NA,NA
"NWC242","NWC","Niwot","ABLA","C","LIVE",24.7,1,2,"C","Y",1793,NA,NA,NA,NA,NA,NA,NA
"NWC243","NWC","Niwot","PICO","C","LIVE",11.1,1,2,"C","Y",1932,NA,NA,NA,NA,NA,NA,NA
"NWC244","NWC","Niwot","PIEN","C","LIVE",8.2,1,2,"C","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWC251","NWC","Niwot","PICO","C","LIVE",11.7,1,2,"C","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWC252","NWC","Niwot","PICO","C","LIVE",14.8,1,2,"C","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWC253","NWC","Niwot","PICO","C","LIVE",18.5,1,2,"C","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWC254","NWC","Niwot","PICO","C","LIVE",11.2,1,2,"C","Y",1938,NA,NA,NA,NA,NA,NA,NA
"NWC261","NWC","Niwot","PICO","C","LIVE",15.9,1,2,"C","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWC262","NWC","Niwot","PIEN","C","LIVE",14.7,1,2,"C","Y",1920,NA,NA,NA,NA,NA,NA,NA
"NWC263","NWC","Niwot","ABLA","C","LIVE",13.9,1,2,"C","Y",1913.5,NA,NA,NA,NA,NA,NA,NA
"NWC264","NWC","Niwot","ABLA","C","LIVE",16.5,1,2,"C","Y",NA,NA,NA,NA,NA,NA,NA,NA
"NWC311","NWC","Niwot","ABLA","C","LIVE",12.1,1,2,"C","Y",NA,NA,NA,NA,NA,NA,NA,NA
"NWC312","NWC","Niwot","ABLA","C","LIVE",15.6,1,2,"C","Y",1863.5,NA,NA,NA,NA,NA,NA,NA
"NWC313","NWC","Niwot","ABLA","C","LIVE",13.3,1,2,"C","Y",1907.5,NA,NA,NA,NA,NA,NA,NA
"NWC314","NWC","Niwot","ABLA","C","LIVE",17.8,1,2,"C","Y",1896.5,NA,NA,NA,NA,NA,NA,NA
"NWC321","NWC","Niwot","ABLA","C","LIVE",14.6,1,2,"C","Y",1918,NA,NA,NA,NA,NA,NA,NA
"NWC322","NWC","Niwot","ABLA","C","LIVE",16.3,1,2,"C","Y",1918,NA,NA,NA,NA,NA,NA,NA
"NWC323","NWC","Niwot","PIEN","C","LIVE",7.1,1,2,"C","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWC324","NWC","Niwot","ABLA","C","LIVE",26,1,2,"C","Y",NA,NA,NA,NA,NA,NA,NA,NA
"NWC331","NWC","Niwot","PICO","C","LIVE",20.5,1,2,"C","Y",1936,NA,NA,NA,NA,NA,NA,NA
"NWC332","NWC","Niwot","PICO","C","LIVE",12.8,1,2,"C","Y",1944,NA,NA,NA,NA,NA,NA,NA
"NWC333","NWC","Niwot","PICO","C","LIVE",8.4,1,2,"C","Y",1937,NA,NA,NA,NA,NA,NA,NA
"NWC334","NWC","Niwot","PICO","C","LIVE",19.3,1,2,"C","Y",1929,NA,NA,NA,NA,NA,NA,NA
"NWC341","NWC","Niwot","PICO","C","LIVE",21.8,1,2,"C","Y",1928,NA,NA,NA,NA,NA,NA,NA
"NWC342","NWC","Niwot","ABLA","C","DEAD",14.4,1,2,"C","N",NA,NA,NA,NA,NA,NA,NA,NA
