"CoreID","TreeID","plot.id","Site","tree.number","Species","Canopy.Class","Live.Dead","DBH..cm.","stems","total.cores","core.id","pith.preset","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot"
"ACC006A","ACC006","ACC","Austin Cary FL",6,"PIPA","C","LIVE",30.5,1,2,"A","N",1910,1912,1913,2014,"Y",NA,NA,"N",NA,NA,"C"
"ACC006B","ACC006","ACC","Austin Cary FL",6,"PIPA","C","LIVE",30.5,1,2,"B","N",1911,1914,1915,2014,"Y",1915,2014,"Y",NA,NA,"C"
"ACC007A","ACC007","ACC","Austin Cary FL",7,"PIPA","C","LIVE",26.3,1,2,"A","N",1911,1914,1915,2014,"Y",1915,2014,"Y",NA,NA,"C"
"ACC007B","ACC007","ACC","Austin Cary FL",7,"PIPA","C","LIVE",26.3,1,2,"B","Y",1914,1914,1915,2014,"Y",1915,2014,"Y",NA,NA,"C"
"ACC008A","ACC008","ACC","Austin Cary FL",8,"PIPA","C","LIVE",23.5,1,2,"A","N",1910,1914,1915,2013,"Y",1915,2013,"Y",NA,"Y","C"
"ACC008B","ACC008","ACC","Austin Cary FL",8,"PIPA","C","LIVE",23.5,1,2,"B",NA,NA,1910,1911,2014,"Y",1911,2014,"Y",NA,NA,"C"
"ACC009A","ACC009","ACC","Austin Cary FL",9,"PIPA","C","LIVE",28.5,1,2,"A",NA,NA,1930,1931,2014,"Y",1931,2014,"Y",NA,NA,"C"
"ACC009B","ACC009","ACC","Austin Cary FL",9,"PIPA","C","LIVE",28.5,1,2,"B","N",1915,1917,1918,2014,"Y",1918,2014,"Y",NA,NA,"C"
"ACC010A","ACC010","ACC","Austin Cary FL",10,"PIPA","C","LIVE",27.3,1,2,"A","N",1913,1915,1916,2014,"Y",1916,2014,"Y",NA,NA,"C"
"ACC010B","ACC010","ACC","Austin Cary FL",10,"PIPA","C","LIVE",27.3,1,2,"B","N",1914,1915,1916,2014,"Y",1916,2014,"Y",NA,NA,"C"
"ACC011A","ACC011","ACC","Austin Cary FL",11,"PIPA","C","LIVE",33.2,1,2,"A","N",1911,1912,1913,2014,"Y",1913,2014,"Y",NA,NA,"C"
"ACC011B","ACC011","ACC","Austin Cary FL",11,"PIPA","C","LIVE",33.2,1,2,"B",NA,NA,1914,1914,2014,"Y",1914,2014,"Y","BRANCH SCAR",NA,"C"
"ACC012A","ACC012","ACC","Austin Cary FL",12,"PIPA","C","LIVE",33,1,2,"A","N",1912,1917,1918,2014,"Y",1918,2014,"Y",NA,NA,"C"
"ACC012B","ACC012","ACC","Austin Cary FL",12,"PIPA","C","LIVE",33,1,2,"B","N",1911,1913,1914,2010,"Y",1914,2010,"Y",NA,"Y","C"
"ACC013A","ACC013","ACC","Austin Cary FL",13,"PIPA","C","LIVE",46.5,1,2,"A","N",1908,1911,1912,2014,"Y",1912,2014,"Y",NA,NA,"C"
"ACC013B","ACC013","ACC","Austin Cary FL",13,"PIPA","C","LIVE",46.5,1,2,"B","N",1910,1910,1911,2014,"Y",1911,2014,"Y",NA,NA,"C"
"ACC014A","ACC014","ACC","Austin Cary FL",14,"PIPA","C","LIVE",24,1,2,"A","N",1915,1916,1917,2014,"Y",1917,2014,"Y",NA,NA,"C"
"ACC014B","ACC014","ACC","Austin Cary FL",14,"PIPA","C","LIVE",24,1,2,"B","N",1913,1917,1918,2014,"Y",1918,2014,"Y",NA,NA,"C"
