"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","plot"
"HOW2051","HOW2","Howland","TSCA","C","LIVE",43.2,1,2,51,1465.7,2.760710059,18.83490451,NA,12.9,292,"2"
"HOW2052","HOW2","Howland","THOC","S","LIVE",22.3,1,2,52,390.6,0.735636095,18.83490451,NA,11.9,290,"2"
"HOW2053","HOW2","Howland","PCRU","C","LIVE",31,1,2,53,754.8,1.421597633,18.83490451,NA,11.3,289,"2"
"HOW2054","HOW2","Howland","TSCA","S","LIVE",18.8,1,2,54,277.6,0.522840237,18.83490451,NA,11,280,"2"
"HOW2055","HOW2","Howland","THOC","C","LIVE",31.5,1,2,55,779.3,1.467825444,18.83490451,NA,8.4,278,"2"
"HOW2056","HOW2","Howland","TSCA","C","LIVE",30.4,1,2,56,725.8,1.367100592,18.83490451,NA,1.4,240,"2"
"HOW2057","HOW2","Howland","THOC","C","LIVE",26.5,1,2,57,551.5,1.038831361,18.83490451,NA,4.7,240,"2"
"HOW2058","HOW2","Howland","THOC","C","LIVE",23.7,1,2,58,441.2,0.830902367,18.83490451,NA,6.6,260,"2"
"HOW2059","HOW2","Howland","THOC",NA,"DEAD",25,1,2,59,490.9,0.924556213,18.83490451,NA,8.6,238,"2"
"HOW2060","HOW2","Howland","TSCA","I","LIVE",18.4,1,2,60,265.9,0.500828402,18.83490451,NA,9.1,248,"2"
"HOW2061","HOW2","Howland","ACRU","C","LIVE",34.6,1,2,61,940.2,1.770946746,18.83490451,NA,8.9,222,"2"
"HOW2062","HOW2","Howland","TSCA","C","LIVE",34.9,1,2,62,956.6,1.801789941,18.83490451,NA,9.5,216,"2"
"HOW2063","HOW2","Howland","PCRU","S","LIVE",18.5,1,2,63,268.8,0.506286982,18.83490451,NA,10.6,224,"2"
"HOW2064","HOW2","Howland","TSCA","I","LIVE",23.2,1,2,64,422.7,0.796213018,18.83490451,NA,11.3,224,"2"
"HOW2065","HOW2","Howland","TSCA","C","LIVE",20.2,1,2,65,320.5,0.603609467,18.83490451,NA,12.7,240,"2"
"HOW2066","HOW2","Howland","PCRU","D","LIVE",30.2,1,2,66,716.3,1.349171598,18.83490451,NA,14.4,250,"2"
"HOW2067","HOW2","Howland","PCRU",NA,"DEAD",23.4,1,2,67,430.1,0.81,18.83490451,NA,15.9,238,"2"
"HOW2068","HOW2","Howland","PCRU","D","LIVE",27.3,1,2,68,585.3,1.1025,18.83490451,NA,17.3,235,"2"
"HOW2069","HOW2","Howland","PCRU","D","LIVE",49.4,1,2,69,1916.7,3.61,18.83490451,NA,19.1,268,"2"
"HOW2070","HOW2","Howland","PCRU","C","LIVE",31.4,1,2,70,774.4,1.45852071,18.83490451,NA,15.8,263,"2"
"HOW2071","HOW2","Howland","THOC","C","LIVE",32,1,2,71,804.2,1.514792899,18.83490451,NA,8.5,189,"2"
"HOW2072","HOW2","Howland","TSCA","C","LIVE",27.1,1,2,72,576.8,1.086405325,18.83490451,NA,10.3,190,"2"
"HOW2073","HOW2","Howland","PCRU","D","LIVE",26.4,1,2,73,547.4,1.031005917,18.83490451,NA,11.6,200,"2"
"HOW2074","HOW2","Howland","TSCA","I","LIVE",22.2,1,2,74,387.1,0.729053254,18.83490451,NA,13.5,200,"2"
"HOW2075","HOW2","Howland","ACRU","C","LIVE",35.3,1,2,75,978.7,1.843328402,18.83490451,NA,13.1,215,"2"
"HOW2076","HOW2","Howland","PCRU","C","LIVE",38.3,1,2,76,1152.1,2.169955621,18.83490451,NA,13.8,213,"2"
"HOW2077","HOW2","Howland","TSCA","C","LIVE",20.1,1,2,77,317.3,0.597647929,18.83490451,NA,15.5,205,"2"
"HOW2078","HOW2","Howland","THOC","C","LIVE",28.4,1,2,78,633.5,1.193136095,18.83490451,NA,16.8,180,"2"
"HOW2079","HOW2","Howland","BEAL","C","LIVE",23.5,1,2,79,433.7,0.81693787,18.83490451,NA,19.1,210,"2"
"HOW2080","HOW2","Howland","PCRU","C","LIVE",12.9,1,2,80,130.7,0.246168639,18.83490451,NA,3,110,"2"
"HOW2081","HOW2","Howland","TSCA","S","LIVE",11.9,1,2,81,111.2,0.209482249,18.83490451,NA,2.1,101,"2"
"HOW2082","HOW2","Howland","PCRU","C","LIVE",12.6,1,2,82,124.7,0.234852071,18.83490451,NA,2.9,153,"2"
"HOW2083","HOW2","Howland","ACRU","C","LIVE",25.2,1,2,83,498.8,0.939408284,18.83490451,NA,4.8,160,"2"
"HOW2084","HOW2","Howland","THOC","C","LIVE",22.8,1,2,84,408.3,0.768994083,18.83490451,NA,7.1,178,"2"
"HOW2085","HOW2","Howland","TSCA","I","LIVE",15.7,1,2,85,193.6,0.364630178,18.83490451,NA,5.1,150,"2"
"HOW2086","HOW2","Howland","PCRU","C","LIVE",23.3,1,2,86,426.4,0.803091716,18.83490451,NA,7.4,157,"2"
